city,date,weekday,hour,concat,SeasonalNaive,HoltWinters,Arima,TBATS
LIM,2021-01-14,Thursday,22,LIM4421022,305,315,317,314
LIM,2021-01-14,Thursday,23,LIM4421023,45,47,47,47
LIM,2021-01-15,Friday,0,LIM442110,0,0,0,0
LIM,2021-01-15,Friday,1,LIM442111,0,0,0,0
LIM,2021-01-15,Friday,2,LIM442112,0,0,0,0
LIM,2021-01-15,Friday,3,LIM442113,0,0,0,0
LIM,2021-01-15,Friday,4,LIM442114,0,0,0,0
LIM,2021-01-15,Friday,5,LIM442115,0,0,0,0
LIM,2021-01-15,Friday,6,LIM442116,0,0,0,0
LIM,2021-01-15,Friday,7,LIM442117,101,105,103,95
LIM,2021-01-15,Friday,8,LIM442118,296,308,302,278
LIM,2021-01-15,Friday,9,LIM442119,575,598,585,540
LIM,2021-01-15,Friday,10,LIM4421110,712,740,725,669
LIM,2021-01-15,Friday,11,LIM4421111,948,986,965,891
LIM,2021-01-15,Friday,12,LIM4421112,2016,2095,2052,1894
LIM,2021-01-15,Friday,13,LIM4421113,2159,2244,2197,2029
LIM,2021-01-15,Friday,14,LIM4421114,1435,1492,1461,1349
LIM,2021-01-15,Friday,15,LIM4421115,1385,1440,1410,1302
LIM,2021-01-15,Friday,16,LIM4421116,1194,1241,1215,1122
LIM,2021-01-15,Friday,17,LIM4421117,1131,1176,1151,1063
LIM,2021-01-15,Friday,18,LIM4421118,1400,1455,1425,1315
LIM,2021-01-15,Friday,19,LIM4421119,2422,2517,2465,2276
LIM,2021-01-15,Friday,20,LIM4421120,2249,2338,2289,2114
LIM,2021-01-15,Friday,21,LIM4421121,1392,1447,1417,1308
LIM,2021-01-15,Friday,22,LIM4421122,546,568,556,513
LIM,2021-01-15,Friday,23,LIM4421123,131,136,133,123
LIM,2021-01-16,Saturday,0,LIM442120,0,0,0,0
LIM,2021-01-16,Saturday,1,LIM442121,0,0,0,0
LIM,2021-01-16,Saturday,2,LIM442122,0,0,0,0
LIM,2021-01-16,Saturday,3,LIM442123,0,0,0,0
LIM,2021-01-16,Saturday,4,LIM442124,0,0,0,0
LIM,2021-01-16,Saturday,5,LIM442125,0,0,0,0
LIM,2021-01-16,Saturday,6,LIM442126,0,0,0,0
LIM,2021-01-16,Saturday,7,LIM442127,118,119,115,107
LIM,2021-01-16,Saturday,8,LIM442128,380,384,370,345
LIM,2021-01-16,Saturday,9,LIM442129,571,577,556,518
LIM,2021-01-16,Saturday,10,LIM4421210,660,667,643,599
LIM,2021-01-16,Saturday,11,LIM4421211,900,910,876,817
LIM,2021-01-16,Saturday,12,LIM4421212,1808,1828,1760,1641
LIM,2021-01-16,Saturday,13,LIM4421213,2341,2368,2280,2126
LIM,2021-01-16,Saturday,14,LIM4421214,1925,1946,1874,1748
LIM,2021-01-16,Saturday,15,LIM4421215,1420,1436,1383,1290
LIM,2021-01-16,Saturday,16,LIM4421216,1165,1178,1134,1058
LIM,2021-01-16,Saturday,17,LIM4421217,1071,1083,1043,972
LIM,2021-01-16,Saturday,18,LIM4421218,1382,1397,1345,1255
LIM,2021-01-16,Saturday,19,LIM4421219,2300,2325,2239,2088
LIM,2021-01-16,Saturday,20,LIM4421220,2548,2576,2481,2313
LIM,2021-01-16,Saturday,21,LIM4421221,1858,1878,1808,1687
LIM,2021-01-16,Saturday,22,LIM4421222,714,722,695,648
LIM,2021-01-16,Saturday,23,LIM4421223,199,202,194,181
LIM,2021-01-17,Sunday,0,LIM442130,0,0,0,0
LIM,2021-01-17,Sunday,1,LIM442131,0,0,0,0
LIM,2021-01-17,Sunday,2,LIM442132,0,0,0,0
LIM,2021-01-17,Sunday,3,LIM442133,0,0,0,0
LIM,2021-01-17,Sunday,4,LIM442134,0,0,0,0
LIM,2021-01-17,Sunday,5,LIM442135,0,0,0,0
LIM,2021-01-17,Sunday,6,LIM442136,0,0,0,0
LIM,2021-01-17,Sunday,7,LIM442137,121,118,109,100
LIM,2021-01-17,Sunday,8,LIM442138,453,441,409,374
LIM,2021-01-17,Sunday,9,LIM442139,611,595,553,505
LIM,2021-01-17,Sunday,10,LIM4421310,665,648,602,550
LIM,2021-01-17,Sunday,11,LIM4421311,894,871,809,739
LIM,2021-01-17,Sunday,12,LIM4421312,2370,2307,2144,1958
